CollegeName,State Name
"ABES INSTITUTE OF TECHNOLOGY, GHAZIABAD (Id: C-46141",Uttar Pradesh
"Abha College of Engineering, Wardha road (Id: C-18255",Maharashtra
"Abhilashi Institutes of Bio-Technology, Tanda, Distt Mandi (Id: C-11517",Himachal Pradesh
"Abhinav Education Society College of Engineering & Technology, Vaddwadi, (Id: C-11223",Maharashtra
"ABHINAV INSTITUTE OF MANAGEMANT AND TECHNOLOGY, KANPUR (Id: C-46810",Uttar Pradesh
Abhinav Institute of Management & Technology (Id: C-39450,Andhra Pradesh
"ABS Academy of Science, Technology And Management 216 (Id: C-6195",West Bengal
"ABS Academy of Science, Technology and Management 328 (Id: C-6224",West Bengal
"ABSS INSTITUTE OF TECHNOLOGY, MAWANA ROAD, MEERUT (Id: C-46196",Uttar Pradesh
"Academy for Technical and Management Excellence, MYSORE (Id: C-1244",Karnataka
ACADEMY OF COMPUTER SCIENCE & TECHNOLOGY JABALPUR (Id: C-31508,Madhya Pradesh
"Academy of Management & Information Technology, IID Centre, Bidya Vihar, Khurda (Id: C-39546",Odisha
"Academy of Management and Information Technology, (AMIT), Khurda (Id: C-30036",Odisha
Academy of Technology 169 (Id: C-6232,West Bengal
"ACCURATE INSTITUTE OF MANAGEMENT AND TECHNOLOGY, GREATER NOIDA (Id: C-46248",Uttar Pradesh
"ACE COLLEGE OF ENGINEERING AND MANAGEMENT,ETMADPURA,AGRA. (Id: C-46035",Uttar Pradesh
ACE Engineering college (Id: C-19720,Telangana
ACE INSTITUTE OF MANAGEMENT & TECHNOLOGY (Id: C-45137,Uttar Pradesh
Achariya College of Engineering Technology (Id: C-6516,Puducherry
"Acharya College of Imaging Technology, Bangalore (Id: C-44864",Karnataka
"Acharya Institute of Technology, BANGALORE (Id: C-1319",Karnataka
"Acharya Vinoba Bhave Institute of Technology, Pavnar (Id: C-18704",Maharashtra
Achiever Institute of Computer Science & Technology (Id: C-32389,Madhya Pradesh
"Achutha Institute of Technology, CHIKKABALLAPUR (Id: C-1286",Karnataka
"ACME COLLEGE OF ENGINEERING, MURADNAGAR, GHAZIABAD (Id: C-46168",Uttar Pradesh
ACME Institute Of Mgmt & Technology (Id: C-25261,Rajasthan
"ACN COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES, KASIMPUR ROAD, VILL.- CHERRAT, ALIGARH (Id: C-46039",Uttar Pradesh
"Acropolis Institute of Technology & Research, Village Raukhedi, Khasra No. 144/3, Indore Bypass Road, Indore-453771 ""i (Id: C-36237",Madhya Pradesh
"Acropolis Institute of Technology and Research, Manglia Chouraha, Indore (Id: C-29705",Madhya Pradesh
"Acropolis Institute of Technology and Research, Village Sikandarabad, Tehsil Huzur, Bhopal (Id: C-35990",Madhya Pradesh
"ACS College of Engineering, BANGALORE (Id: C-1440",Karnataka
ADAMAS Institute of Technology 239 (Id: C-6167,West Bengal
Adam's Engineering college (Id: C-19652,Telangana
"Adarsh College of Engineering, NH-214, Chebrolu,PIN-533449 (CC-HN) (Id: C-18150",Andhra Pradesh
Adarsh Institute of Commerce & Technology (Id: C-32065,Madhya Pradesh
"Adarsha College of Engineering, (ACE), Angul (Id: C-30058",Odisha
"Adesh Institute of Engineering & Technology, Faridkot (Id: C-10478",Punjab
Adhi College of Engineering and Technology (Id: C-16554,Tamil Nadu
Adhiparasakthi College of Engineering (Id: C-16562,Tamil Nadu
Adhiparasakthi Engineering College (Id: C-16487,Tamil Nadu
"ADHUNIK COLLEGE OF ENGINEERING , DUHAI, GHAZIABAD (Id: C-46148",Uttar Pradesh
"Adi Shankara Institute of Engineering and Technology, Sankar Nagar, Mattoor, Kalady- 683 547 (Id: C-11745",Kerala
"Adichunchanagiri Institute of Technology, CHIKKAMAGALUR (Id: C-1289",Karnataka
"Adina Institute of Science & Technology, Opposite Bamhori Seed Farm, Bhopal Road, Sagar (Id: C-36247",Madhya Pradesh
Adithya Institute of Technology (Id: C-37053,Tamil Nadu
"ADITI COMPUTER INSTITUTE & ENGINEERING TECHNOLOGY , SATNA (Id: C-31163",Madhya Pradesh
"Aditiya Coll of Computer & Information Technology, Selu (Id: C-7588",Maharashtra
"Aditya Bahuuddeshiya Education Society's Aditya Engineering College, Telgaon Road. (Id: C-34515",Maharashtra
"Aditya College of Agril Bio-Technology, Telgaon Road (Id: C-44917",Maharashtra
"Aditya College of Agril Engineering, Telgaon Road (Id: C-44915",Maharashtra
"Aditya College of Engineering, Madanapalle (Id: C-26971",Andhra Pradesh
"Aditya College of Food Technology, Beed (Id: C-44911",Maharashtra
"Aditya College of Technology and Science, Plot No. 95, Sherganj Block, Satna (Id: C-36270",Madhya Pradesh
"Aditya Engineering College, Aditya Nagar, ADB Raod, Surampalem, PIN-533437(CC-A9) (Id: C-17952",Andhra Pradesh
ADITYA INSTITUTE OF SCIENCE AND TECHNOLOGY BHOPAL (Id: C-31393,Madhya Pradesh
"ADITYA INSTITUTE OF TECHNOLOGY & MANAGEMENT, K.Kothuru, Tekkali - 532201, Srikakulam District, A.P(CC-A5) (Id: C-18122",Andhra Pradesh
"ADIYA COLLEGE OF TECHNOLOGY AND SCIENCE ,SATNA (Id: C-31851",Madhya Pradesh
Adiyaman College of Engineering (Id: C-37105,Tamil Nadu
"ADSULS TECHNICAL CAMPUS FACULTY OF MBA, AHMEDNAGAR (Id: C-45863",Maharashtra
Adusumalli Vijaya College of Engineering & Research Centre (Id: C-27590,Telangana
Adusumalli Vijaya Institute of Technology & Research Centre (Id: C-19592,Telangana
"ADVAIT VEDANTA INSTITUTE OF TECHNOLOGY, JAIPUR (Id: C-47687",Rajasthan
ADVANCE COMPUTER ENGINEERING BHOPAL (Id: C-31136,Madhya Pradesh
"Advance Institute of Science and Technology,Dehradun (Id: C-24704",Uttrakhand
ADVANCE INSTITUTE OF TECHNICAL STUDIES UJJAIN (Id: C-31535,Madhya Pradesh
Advanced College of Technology & Management (Id: C-28441,Haryana
"Advanced Institute of Technology & Management, Aurangabad, Tehsil Hodal, Palwal (Id: C-28014",Haryana
Advanced Technology Centre (ATC) of TCS (Id: C-12984,Telangana
"ADVENT INSTITUTE OF MANAGEMENT SCIENCE & TECHNOLOGY, BUSINESS CENTER 3RD, FLOOR, 1-MADHUVAN (Id: C-39940",Rajasthan
Advent Institute of Management Studies Aishwarya Institute of Management & Information Technology (Id: C-25157,Rajasthan
"AGM Rural College of Engineering & Technology, VARUR (Id: C-1316",Karnataka
Agnel Charitable Trusts Fr Conceicao Rodrigues Institute of Technology Sector 9-A Vashi Navi Mumbai 400 703 (Id: C-33530,Maharashtra
"AGNEL INSTITUTE OF TECHNOLOGY AND DESIGN, ASSAGAO, BARDEZ (Id: C-46329",Goa
Agnihotri College of Engineering Nagthana road (Id: C-18362,Maharashtra
"AGNOS College of Technology, Near RGPV Campus, Airport Bpass Road, Godermau, Gandhi Nagar, Bhopal-462036 (Id: C-35995",Madhya Pradesh
AGOSHDEEP INSTITUTE OF INFORMATION TECHNOLOGY NAGDA (Id: C-31490,Madhya Pradesh
"AGRA PUBLIC COLLEGE OF TECHNOLOGY AND MANAGEMENT, AGRA (Id: C-46031",Uttar Pradesh
"AGRA PUBLIC SCHOOL OF TECHNOLOGY AND COMPUTER EDUCATION, ARTONI, AGRA (Id: C-46020",Uttar Pradesh
"Agricultural Engineering College and Research Institute, Coimbatore (Id: C-44924",Tamil Nadu
"Agricultural Engineering College and Research Institute, Tiruchirappalli (Id: C-44929",Tamil Nadu
"Agricultural Polytechnic, Amirghad (Id: C-34252",Gujarat
